symbol,name,bars,trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,total_return_pct,max_drawdown_pct,sharpe,avg_bars_held
AAPLx,vwap_pullback,3000,42,14.29%,0.606%,-0.326%,0.31,-0.193%,-7.85%,-9.80%,-5.27,8.0
AAPLx,ema_breakout,3000,104,28.85%,0.778%,-0.490%,0.64,-0.124%,-12.55%,-17.86%,-3.90,15.6
AAPLx,rsi_mean_reversion,3000,0,0.00%,0.000%,0.000%,0.00,0.000%,0.00%,0.00%,0.00,0.0
TSLAx,vwap_pullback,3000,47,12.77%,2.210%,-0.575%,0.56,-0.219%,-10.30%,-12.34%,-3.19,9.9
TSLAx,ema_breakout,3000,97,36.08%,1.650%,-0.930%,1.00,0.001%,-1.19%,-18.24%,0.01,16.5
TSLAx,rsi_mean_reversion,3000,0,0.00%,0.000%,0.000%,0.00,0.000%,0.00%,0.00%,0.00,0.0
NVDAx,vwap_pullback,3000,33,15.15%,1.352%,-0.601%,0.40,-0.305%,-9.80%,-12.91%,-3.96,8.0
NVDAx,ema_breakout,3000,110,32.73%,1.272%,-0.804%,0.77,-0.124%,-13.72%,-18.46%,-2.27,15.1
NVDAx,rsi_mean_reversion,3000,0,0.00%,0.000%,0.000%,0.00,0.000%,0.00%,0.00%,0.00,0.0
MSFTx,vwap_pullback,3000,36,25.00%,0.820%,-0.348%,0.78,-0.056%,-2.08%,-7.81%,-1.13,11.9
MSFTx,ema_breakout,3000,104,31.73%,0.637%,-0.519%,0.57,-0.152%,-14.81%,-15.74%,-5.13,15.8
MSFTx,rsi_mean_reversion,3000,3,33.33%,0.074%,-0.738%,0.05,-0.467%,-1.40%,-1.46%,-4.91,6.7
SPYx,vwap_pullback,3000,38,18.42%,0.505%,-0.246%,0.46,-0.108%,-4.04%,-4.09%,-4.15,10.2
SPYx,ema_breakout,3000,102,21.57%,0.439%,-0.336%,0.36,-0.169%,-15.95%,-16.92%,-8.92,14.7
SPYx,rsi_mean_reversion,3000,16,56.25%,0.194%,-0.419%,0.60,-0.074%,-1.20%,-2.53%,-1.38,21.2
