,vwap_pullback,ema_breakout,rsi_mean_reversion
2026-03-31 17:00:00+00:00,1.0,1.0,1.0
2026-03-31 17:05:00+00:00,1.0,1.0,1.0
2026-03-31 17:10:00+00:00,1.0,1.0,1.0
2026-03-31 17:15:00+00:00,1.0,1.0,1.0
2026-03-31 17:20:00+00:00,1.0,1.0,1.0
2026-03-31 17:25:00+00:00,1.0,1.0,1.0
2026-03-31 17:30:00+00:00,1.0,1.0,1.0
2026-03-31 17:35:00+00:00,1.0,1.0,1.0
2026-03-31 17:40:00+00:00,1.0,1.0,1.0
2026-03-31 17:45:00+00:00,1.0,1.0,1.0
2026-03-31 17:50:00+00:00,1.0,1.0,1.0
2026-03-31 17:55:00+00:00,1.0,1.0,1.0
2026-03-31 18:00:00+00:00,1.0,1.0,1.0
2026-03-31 18:05:00+00:00,1.0,1.0,1.0
2026-03-31 18:10:00+00:00,1.0,1.0,1.0
2026-03-31 18:15:00+00:00,1.0,1.0,1.0
2026-03-31 18:20:00+00:00,1.0,1.0,1.0
2026-03-31 18:25:00+00:00,1.0005408482981117,1.0,1.0
2026-03-31 18:30:00+00:00,1.0002197241381499,1.0,1.0
2026-03-31 18:35:00+00:00,0.9993091686617679,1.0,1.0
2026-03-31 18:40:00+00:00,0.9997706224575318,1.0,1.0
2026-03-31 18:45:00+00:00,1.0002365984740056,1.0,1.0
2026-03-31 18:50:00+00:00,0.9995199110955968,1.0,1.0
2026-03-31 18:55:00+00:00,0.9999278984028553,1.0,1.0
2026-03-31 19:00:00+00:00,0.9998517710011284,1.0,1.0
2026-03-31 19:05:00+00:00,0.9985513678894417,1.0,1.0
2026-03-31 19:10:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:15:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:20:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:25:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:30:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:35:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:40:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:45:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:50:00+00:00,0.997852381931919,1.0,1.0
2026-03-31 19:55:00+00:00,0.997852381931919,1.0,1.0
2026-04-01 13:30:00+00:00,0.997852381931919,1.0,1.0
2026-04-01 13:35:00+00:00,0.997852381931919,0.9986459008188334,1.0
2026-04-01 13:40:00+00:00,0.997852381931919,0.9981082201978707,1.0
2026-04-01 13:45:00+00:00,0.997852381931919,0.997688384202274,1.0
2026-04-01 13:50:00+00:00,0.997852381931919,0.9971663169328172,1.0
2026-04-01 13:55:00+00:00,0.997852381931919,0.9965830325434379,1.0
2026-04-01 14:00:00+00:00,0.997852381931919,0.9989139509807496,1.0
2026-04-01 14:05:00+00:00,0.997852381931919,0.9982546424529232,1.0
2026-04-01 14:10:00+00:00,0.997852381931919,0.9999167349217407,1.0
2026-04-01 14:15:00+00:00,0.997852381931919,1.0006988336676832,1.0
2026-04-01 14:20:00+00:00,0.997852381931919,1.001378475062079,1.0
2026-04-01 14:25:00+00:00,0.997852381931919,1.0013263812701236,1.0
2026-04-01 14:30:00+00:00,0.997852381931919,1.00357302871617,1.0
2026-04-01 14:35:00+00:00,0.997852381931919,1.0045612582639447,1.0
2026-04-01 14:40:00+00:00,0.997852381931919,1.0052467164706755,1.0
2026-04-01 14:45:00+00:00,0.997852381931919,1.0041195621055192,1.0
2026-04-01 14:50:00+00:00,0.997852381931919,1.0051272157730111,0.9982964803938498
2026-04-01 14:55:00+00:00,0.997852381931919,1.0037705622320447,0.9996439142647146
2026-04-01 15:00:00+00:00,0.997852381931919,1.005540251922082,0.9978815000284883
2026-04-01 15:05:00+00:00,0.997852381931919,1.0032916719380272,1.000112953581077
2026-04-01 15:10:00+00:00,0.997852381931919,1.0025928861871045,1.0008095253765208
2026-04-01 15:15:00+00:00,0.997852381931919,1.0025695871703508,1.0008327829501784
2026-04-01 15:20:00+00:00,0.997852381931919,1.0020761855804048,1.0013253297945042
2026-04-01 15:25:00+00:00,0.997852381931919,1.0010056446171762,1.002395068601282
2026-04-01 15:30:00+00:00,0.997852381931919,1.000304940665944,1.002383565339417
2026-04-01 15:35:00+00:00,0.997852381931919,1.000304940665944,1.003303039997442
2026-04-01 15:40:00+00:00,0.997852381931919,1.000304940665944,1.0026007278694438
2026-04-01 15:45:00+00:00,0.997852381931919,1.000304940665944,1.0026007278694438
2026-04-01 15:50:00+00:00,0.997852381931919,1.000304940665944,1.0026007278694438
2026-04-01 15:55:00+00:00,0.997852381931919,1.000304940665944,1.0026007278694438
2026-04-01 16:00:00+00:00,0.997852381931919,1.000304940665944,1.0026007278694438
2026-04-01 16:05:00+00:00,0.997852381931919,1.000304940665944,1.0026007278694438
2026-04-01 16:10:00+00:00,0.997852381931919,1.000304940665944,1.0026007278694438
2026-04-01 16:15:00+00:00,0.997852381931919,0.9982041334156894,1.0026007278694438
