,vwap_pullback,ema_breakout,rsi_mean_reversion
2026-03-31 17:00:00+00:00,1.0,1.0,1.0
2026-03-31 17:05:00+00:00,1.0,1.0,1.0
2026-03-31 17:10:00+00:00,1.0,1.0,1.0
2026-03-31 17:15:00+00:00,1.0,1.0,1.0
2026-03-31 17:20:00+00:00,1.0,1.0,1.0
2026-03-31 17:25:00+00:00,1.0,1.0,1.0
2026-03-31 17:30:00+00:00,1.0,1.0,1.0
2026-03-31 17:35:00+00:00,1.0,1.0,1.0
2026-03-31 17:40:00+00:00,1.0,1.0,1.0
2026-03-31 17:45:00+00:00,1.0,1.0,1.0
2026-03-31 17:50:00+00:00,1.0,1.0,1.0
2026-03-31 17:55:00+00:00,1.0,1.0,1.0
2026-03-31 18:00:00+00:00,1.0,1.0,1.0
2026-03-31 18:05:00+00:00,1.0,1.0,1.0
2026-03-31 18:10:00+00:00,1.0,1.0,1.0
2026-03-31 18:15:00+00:00,1.0,1.0,1.0
2026-03-31 18:20:00+00:00,1.0,1.0,1.0
2026-03-31 18:25:00+00:00,1.0,1.0,1.0
2026-03-31 18:30:00+00:00,1.0,1.0,1.0
2026-03-31 18:35:00+00:00,1.0,1.0,1.0
2026-03-31 18:40:00+00:00,1.0,1.0,1.0
2026-03-31 18:45:00+00:00,1.0,1.0,1.0
2026-03-31 18:50:00+00:00,1.0,1.0,1.0
2026-03-31 18:55:00+00:00,1.0,1.0,1.0
2026-03-31 19:00:00+00:00,1.0,1.0,1.0
2026-03-31 19:05:00+00:00,1.0,1.0,1.0
2026-03-31 19:10:00+00:00,1.0,1.0,1.0
2026-03-31 19:15:00+00:00,1.0,1.0,1.0
2026-03-31 19:20:00+00:00,1.0,1.0,1.0
2026-03-31 19:25:00+00:00,1.0,1.0,1.0
2026-03-31 19:30:00+00:00,1.0,1.0,1.0
2026-03-31 19:35:00+00:00,1.0,1.0,1.0
2026-03-31 19:40:00+00:00,1.0,1.0,1.0
2026-03-31 19:45:00+00:00,1.0,0.9982691448013924,1.0
2026-03-31 19:50:00+00:00,1.0,0.9922908662284257,1.0
2026-03-31 19:55:00+00:00,1.0,0.9933611484910173,1.0
2026-04-01 13:30:00+00:00,1.0,0.9926189071753831,1.0
2026-04-01 13:35:00+00:00,1.0,0.9903977911898816,1.0
2026-04-01 13:40:00+00:00,1.0,0.9903488285654655,1.0
2026-04-01 13:45:00+00:00,1.0,0.9956624866585012,1.0
2026-04-01 13:50:00+00:00,1.0,1.0010415362442047,1.0
2026-04-01 13:55:00+00:00,1.0,1.0011920962955425,1.0
2026-04-01 14:00:00+00:00,1.0,1.0046550453364946,1.0
2026-04-01 14:05:00+00:00,1.0,1.0065204652365152,1.0
2026-04-01 14:10:00+00:00,1.0,1.0060459439119476,1.0
2026-04-01 14:15:00+00:00,1.0,1.0146967633285835,1.0
2026-04-01 14:20:00+00:00,1.0,1.0132674450207382,1.0
2026-04-01 14:25:00+00:00,1.0,1.0145770149252198,1.0
2026-04-01 14:30:00+00:00,1.0,1.0119619702998768,1.0
2026-04-01 14:35:00+00:00,1.0,1.0092474309741513,1.0
2026-04-01 14:40:00+00:00,1.0,1.011218990579793,1.0
2026-04-01 14:45:00+00:00,1.0,1.0113211487640175,1.0
2026-04-01 14:50:00+00:00,1.0,1.0074488506136339,1.0
2026-04-01 14:55:00+00:00,1.0,1.014815156466727,1.0
2026-04-01 15:00:00+00:00,1.0,1.0186088445231638,1.0
2026-04-01 15:05:00+00:00,1.0,1.0150871425645476,1.0
2026-04-01 15:10:00+00:00,1.0,1.0166939656050673,1.0
2026-04-01 15:15:00+00:00,1.0,1.0168014703287362,1.0
2026-04-01 15:20:00+00:00,1.0,1.0145509656907346,1.0
2026-04-01 15:25:00+00:00,1.0,1.0086167010092277,1.0
2026-04-01 15:30:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 15:35:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 15:40:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 15:45:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 15:50:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 15:55:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:00:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:05:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:10:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:15:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:20:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:25:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:30:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:35:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:40:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:45:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:50:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 16:55:00+00:00,1.0,1.0079106693185211,1.0
2026-04-01 17:00:00+00:00,1.0,1.0066848093113263,1.0
