entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-05-13 11:25:00+00:00,2026-05-13 11:30:00+00:00,SHORT,64756.64,64952.31,1,-0.3022,-0.4422
2026-05-13 17:10:00+00:00,2026-05-13 17:20:00+00:00,LONG,65249.42,65165.53,2,-0.1286,-0.2686
2026-05-14 04:55:00+00:00,2026-05-14 05:00:00+00:00,SHORT,63812.3,64042.94,1,-0.3614,-0.5014
2026-05-14 10:05:00+00:00,2026-05-14 11:25:00+00:00,SHORT,63485.36,63694.54,16,-0.3295,-0.4695
2026-05-14 21:15:00+00:00,2026-05-14 21:20:00+00:00,LONG,64298.7,64079.82,1,-0.3404,-0.4804
2026-05-15 01:15:00+00:00,2026-05-15 01:20:00+00:00,SHORT,64043.1,64096.72,1,-0.0837,-0.2237
2026-05-15 06:10:00+00:00,2026-05-15 06:15:00+00:00,SHORT,64132.33,64233.32,1,-0.1575,-0.2975
2026-05-15 06:20:00+00:00,2026-05-15 06:25:00+00:00,SHORT,64148.02,64329.98,1,-0.2837,-0.4237
2026-05-17 00:20:00+00:00,2026-05-17 00:25:00+00:00,SHORT,59946.81,60091.07,1,-0.2406,-0.3806
2026-05-17 01:30:00+00:00,2026-05-17 01:35:00+00:00,SHORT,59854.29,60072.11,1,-0.3639,-0.5039
2026-05-17 03:20:00+00:00,2026-05-17 10:35:00+00:00,LONG,60168.51,60753.71,87,0.9726,0.8326
2026-05-17 13:35:00+00:00,2026-05-18 00:05:00+00:00,SHORT,60224.19,57594.25,126,4.3669,4.2269
2026-05-18 06:40:00+00:00,2026-05-18 06:45:00+00:00,SHORT,58102.2,58201.9,1,-0.1716,-0.3116
2026-05-18 15:20:00+00:00,2026-05-18 15:50:00+00:00,LONG,58972.16,58676.84,6,-0.5008,-0.6408
2026-05-19 04:45:00+00:00,2026-05-20 00:05:00+00:00,SHORT,55916.12,51464.16,232,7.9619,7.8219
2026-05-21 03:45:00+00:00,2026-05-21 04:30:00+00:00,LONG,49676.77,49499.7,9,-0.3564,-0.4964
2026-05-21 04:35:00+00:00,2026-05-21 04:50:00+00:00,LONG,49614.99,49406.11,3,-0.421,-0.561
2026-05-22 21:00:00+00:00,2026-05-22 21:10:00+00:00,LONG,52017.31,51705.89,2,-0.5987,-0.7387
2026-05-22 22:25:00+00:00,2026-05-23 00:05:00+00:00,LONG,51907.18,51771.3,20,-0.2618,-0.4018
2026-05-23 13:25:00+00:00,2026-05-23 13:50:00+00:00,LONG,52893.47,52720.22,5,-0.3276,-0.4676
2026-05-23 14:45:00+00:00,2026-05-23 15:00:00+00:00,LONG,52853.35,52801.15,3,-0.0988,-0.2388
2026-05-23 16:15:00+00:00,2026-05-23 16:20:00+00:00,LONG,52873.69,52708.41,1,-0.3126,-0.4526
