entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-04-01 14:55:00+00:00,2026-04-01 16:55:00+00:00,SHORT,201.16,201.11,24,0.0265,-0.1135
2026-04-01 18:00:00+00:00,2026-04-01 18:35:00+00:00,SHORT,201.0,201.16,7,-0.0798,-0.2198
2026-04-01 18:40:00+00:00,2026-04-02 14:10:00+00:00,SHORT,200.42,197.26,24,1.575,1.435
2026-04-02 14:15:00+00:00,2026-04-02 14:20:00+00:00,SHORT,197.12,197.71,1,-0.3002,-0.4402
2026-04-06 14:00:00+00:00,2026-04-06 14:10:00+00:00,SHORT,193.62,194.02,2,-0.2062,-0.3462
2026-04-08 13:50:00+00:00,2026-04-08 13:55:00+00:00,SHORT,195.53,196.15,1,-0.3191,-0.4591
2026-04-09 14:50:00+00:00,2026-04-09 19:35:00+00:00,LONG,203.5,205.53,57,0.9938,0.8538
2026-04-10 16:55:00+00:00,2026-04-10 17:00:00+00:00,LONG,203.39,203.18,1,-0.1046,-0.2446
2026-04-13 14:05:00+00:00,2026-04-13 16:40:00+00:00,SHORT,201.38,200.48,31,0.4505,0.3105
2026-04-13 19:25:00+00:00,2026-04-14 13:40:00+00:00,SHORT,200.28,198.98,9,0.6502,0.5102
2026-04-14 14:30:00+00:00,2026-04-14 14:35:00+00:00,SHORT,198.46,198.97,1,-0.2542,-0.3942
2026-04-21 17:20:00+00:00,2026-04-21 17:40:00+00:00,SHORT,205.33,205.68,4,-0.1696,-0.3096
2026-04-22 18:35:00+00:00,2026-04-22 18:45:00+00:00,SHORT,204.99,205.13,2,-0.0692,-0.2092
2026-04-23 16:30:00+00:00,2026-04-23 16:35:00+00:00,LONG,206.71,205.84,1,-0.4225,-0.5625
2026-04-23 17:15:00+00:00,2026-04-23 17:25:00+00:00,LONG,206.28,205.62,2,-0.3187,-0.4587
2026-04-24 13:45:00+00:00,2026-04-24 13:55:00+00:00,SHORT,203.97,204.54,2,-0.2784,-0.4184
2026-04-24 14:20:00+00:00,2026-04-24 15:35:00+00:00,SHORT,204.45,204.33,15,0.0587,-0.0813
2026-04-28 14:45:00+00:00,2026-04-28 16:55:00+00:00,LONG,208.75,208.72,26,-0.0118,-0.1518
2026-04-30 13:55:00+00:00,2026-04-30 14:00:00+00:00,LONG,214.27,213.32,1,-0.4451,-0.5851
2026-05-01 13:40:00+00:00,2026-05-01 13:55:00+00:00,LONG,216.86,216.88,3,0.0119,-0.1281
2026-05-01 16:20:00+00:00,2026-05-01 16:25:00+00:00,LONG,214.56,214.05,1,-0.2377,-0.3777
2026-05-04 17:45:00+00:00,2026-05-04 18:05:00+00:00,LONG,215.99,214.63,4,-0.6292,-0.7692
2026-05-05 15:00:00+00:00,2026-05-05 15:05:00+00:00,SHORT,211.93,212.21,1,-0.1356,-0.2756
2026-05-05 19:30:00+00:00,2026-05-05 19:35:00+00:00,LONG,213.84,213.57,1,-0.127,-0.267
2026-05-06 13:55:00+00:00,2026-05-06 14:05:00+00:00,LONG,214.76,214.24,2,-0.2431,-0.3831
2026-05-08 14:00:00+00:00,2026-05-08 15:00:00+00:00,SHORT,213.19,213.04,12,0.0696,-0.0704
2026-05-11 13:55:00+00:00,2026-05-11 14:00:00+00:00,SHORT,209.57,209.92,1,-0.1669,-0.3069
2026-05-12 13:35:00+00:00,2026-05-12 15:40:00+00:00,SHORT,208.53,207.64,25,0.4246,0.2846
2026-05-12 17:10:00+00:00,2026-05-12 17:15:00+00:00,SHORT,207.88,208.2,1,-0.1561,-0.2961
2026-05-13 13:55:00+00:00,2026-05-13 14:50:00+00:00,SHORT,207.27,206.48,11,0.3817,0.2417
2026-05-13 14:55:00+00:00,2026-05-13 15:30:00+00:00,SHORT,205.81,206.34,7,-0.2556,-0.3956
2026-05-15 14:10:00+00:00,2026-05-15 14:25:00+00:00,LONG,212.34,212.09,3,-0.1202,-0.2602
2026-05-15 17:55:00+00:00,2026-05-15 19:55:00+00:00,LONG,214.41,213.94,24,-0.2175,-0.3575
2026-05-18 15:55:00+00:00,2026-05-18 16:10:00+00:00,LONG,214.66,214.21,3,-0.2102,-0.3502
2026-05-18 17:05:00+00:00,2026-05-18 17:10:00+00:00,LONG,214.08,213.94,1,-0.064,-0.204
2026-05-18 17:45:00+00:00,2026-05-18 18:00:00+00:00,LONG,214.78,213.72,3,-0.4917,-0.6317
2026-05-18 19:15:00+00:00,2026-05-18 19:50:00+00:00,LONG,214.36,214.0,7,-0.1665,-0.3065
2026-05-19 14:05:00+00:00,2026-05-19 14:25:00+00:00,LONG,215.0,214.65,4,-0.1625,-0.3025
2026-05-20 14:20:00+00:00,2026-05-20 15:00:00+00:00,LONG,216.19,215.95,8,-0.1131,-0.2531
2026-05-20 15:05:00+00:00,2026-05-20 15:10:00+00:00,LONG,216.31,216.04,1,-0.1244,-0.2644
2026-05-22 13:50:00+00:00,2026-05-22 13:55:00+00:00,LONG,226.12,225.73,1,-0.1704,-0.3104
2026-05-22 14:00:00+00:00,2026-05-22 14:05:00+00:00,LONG,225.87,225.64,1,-0.1017,-0.2417
