entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-03-31 19:20:00+00:00,2026-04-01 13:30:00+00:00,LONG,426.16,424.85,8,-0.3063,-0.4463
2026-04-01 14:00:00+00:00,2026-04-01 14:45:00+00:00,SHORT,421.84,424.15,9,-0.5471,-0.6871
2026-04-01 15:25:00+00:00,2026-04-01 19:00:00+00:00,LONG,427.92,431.73,43,0.8887,0.7487
2026-04-01 19:10:00+00:00,2026-04-01 19:20:00+00:00,SHORT,430.69,436.53,2,-1.3555,-1.4955
2026-04-01 19:45:00+00:00,2026-04-02 14:25:00+00:00,LONG,437.66,436.0,14,-0.3805,-0.5205
2026-04-02 15:30:00+00:00,2026-04-02 19:20:00+00:00,LONG,440.25,444.68,46,1.0062,0.8662
2026-04-03 13:35:00+00:00,2026-04-03 13:55:00+00:00,SHORT,443.12,444.72,4,-0.3605,-0.5005
2026-04-03 17:55:00+00:00,2026-04-03 18:05:00+00:00,SHORT,439.12,441.89,2,-0.6312,-0.7712
2026-04-03 18:15:00+00:00,2026-04-06 15:25:00+00:00,LONG,444.27,449.46,44,1.1688,1.0288
2026-04-06 15:50:00+00:00,2026-04-06 17:15:00+00:00,SHORT,447.62,447.97,17,-0.0776,-0.2176
2026-04-06 18:30:00+00:00,2026-04-06 18:55:00+00:00,LONG,450.19,448.02,5,-0.4816,-0.6216
2026-04-06 19:55:00+00:00,2026-04-07 15:55:00+00:00,LONG,451.87,456.56,30,1.038,0.898
2026-04-07 18:05:00+00:00,2026-04-07 18:55:00+00:00,LONG,462.34,460.25,10,-0.452,-0.592
2026-04-07 19:20:00+00:00,2026-04-08 16:25:00+00:00,SHORT,457.45,448.36,43,1.9882,1.8482
2026-04-08 16:50:00+00:00,2026-04-08 17:45:00+00:00,LONG,449.47,447.74,11,-0.3862,-0.5262
2026-04-08 18:25:00+00:00,2026-04-08 19:35:00+00:00,SHORT,443.78,446.38,14,-0.5848,-0.7248
2026-04-08 19:50:00+00:00,2026-04-09 13:35:00+00:00,LONG,448.48,443.71,3,-1.0637,-1.2037
2026-04-09 14:10:00+00:00,2026-04-09 16:50:00+00:00,SHORT,442.29,440.64,32,0.3751,0.2351
2026-04-09 17:00:00+00:00,2026-04-09 18:15:00+00:00,LONG,443.8,443.3,15,-0.1121,-0.2521
2026-04-09 18:45:00+00:00,2026-04-10 13:35:00+00:00,SHORT,439.87,444.25,16,-0.9954,-1.1354
2026-04-10 13:35:00+00:00,2026-04-10 16:00:00+00:00,LONG,444.25,446.74,29,0.5599,0.4199
2026-04-10 16:45:00+00:00,2026-04-10 19:15:00+00:00,LONG,450.73,454.53,30,0.8428,0.7028
2026-04-13 18:10:00+00:00,2026-04-13 18:40:00+00:00,SHORT,449.73,451.82,6,-0.4627,-0.6027
2026-04-13 18:50:00+00:00,2026-04-14 13:35:00+00:00,LONG,453.81,454.14,15,0.0724,-0.0676
2026-04-14 14:25:00+00:00,2026-04-14 16:20:00+00:00,SHORT,450.64,447.61,23,0.6725,0.5325
2026-04-14 16:30:00+00:00,2026-04-14 17:55:00+00:00,LONG,448.74,448.98,17,0.0547,-0.0853
2026-04-14 18:35:00+00:00,2026-04-14 19:50:00+00:00,SHORT,446.99,446.66,15,0.0745,-0.0655
2026-04-15 17:55:00+00:00,2026-04-15 18:10:00+00:00,SHORT,441.62,444.3,3,-0.607,-0.747
2026-04-15 18:45:00+00:00,2026-04-16 15:00:00+00:00,LONG,446.78,451.64,33,1.0884,0.9484
2026-04-16 16:35:00+00:00,2026-04-16 16:55:00+00:00,LONG,454.47,452.08,4,-0.525,-0.665
