entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-04-01 14:45:00+00:00,2026-04-01 14:50:00+00:00,LONG,424.15,423.56,1,-0.1395,-0.2795
2026-04-01 15:20:00+00:00,2026-04-02 13:35:00+00:00,LONG,424.69,437.05,57,2.9098,2.7698
2026-04-02 14:35:00+00:00,2026-04-02 14:45:00+00:00,LONG,436.89,436.39,2,-0.1158,-0.2558
2026-04-03 14:35:00+00:00,2026-04-03 14:50:00+00:00,LONG,444.21,442.88,3,-0.2986,-0.4386
2026-04-03 18:10:00+00:00,2026-04-06 13:35:00+00:00,LONG,443.38,446.45,23,0.6914,0.5514
2026-04-06 13:45:00+00:00,2026-04-06 14:20:00+00:00,LONG,447.33,449.23,7,0.4244,0.2844
2026-04-07 13:45:00+00:00,2026-04-07 19:20:00+00:00,LONG,451.17,457.45,67,1.3926,1.2526
2026-04-09 13:35:00+00:00,2026-04-09 13:45:00+00:00,SHORT,443.71,445.77,2,-0.4639,-0.6039
2026-04-09 18:25:00+00:00,2026-04-10 13:35:00+00:00,SHORT,441.31,444.25,20,-0.6665,-0.8065
2026-04-14 17:55:00+00:00,2026-04-14 18:00:00+00:00,SHORT,448.98,449.73,1,-0.1674,-0.3074
2026-04-15 15:30:00+00:00,2026-04-15 16:15:00+00:00,SHORT,443.44,444.15,9,-0.159,-0.299
2026-04-15 17:10:00+00:00,2026-04-15 17:25:00+00:00,SHORT,444.02,445.13,3,-0.25,-0.39
2026-04-15 17:40:00+00:00,2026-04-15 18:10:00+00:00,SHORT,443.16,444.3,6,-0.2583,-0.3983
2026-04-16 15:40:00+00:00,2026-04-16 15:45:00+00:00,LONG,451.78,451.53,1,-0.0545,-0.1945
2026-04-20 15:30:00+00:00,2026-04-20 16:35:00+00:00,LONG,453.16,453.65,13,0.1089,-0.0311
2026-04-24 13:35:00+00:00,2026-04-24 13:40:00+00:00,LONG,448.04,446.61,1,-0.3189,-0.4589
2026-04-27 17:15:00+00:00,2026-04-27 19:05:00+00:00,SHORT,448.0,447.29,22,0.1582,0.0182
2026-04-30 15:10:00+00:00,2026-04-30 15:15:00+00:00,SHORT,430.48,431.89,1,-0.3285,-0.4685
2026-05-05 13:50:00+00:00,2026-05-05 14:25:00+00:00,SHORT,422.33,422.88,7,-0.1311,-0.2711
2026-05-05 18:30:00+00:00,2026-05-05 18:50:00+00:00,SHORT,421.55,423.38,4,-0.434,-0.574
2026-05-05 18:55:00+00:00,2026-05-06 13:45:00+00:00,SHORT,420.85,421.12,16,-0.0633,-0.2033
2026-05-08 14:25:00+00:00,2026-05-08 14:45:00+00:00,SHORT,410.56,411.73,4,-0.2846,-0.4246
2026-05-08 15:30:00+00:00,2026-05-11 13:35:00+00:00,SHORT,411.23,407.06,55,1.015,0.875
2026-05-12 19:25:00+00:00,2026-05-13 13:35:00+00:00,LONG,411.03,409.87,8,-0.2831,-0.4231
2026-05-14 14:30:00+00:00,2026-05-14 17:30:00+00:00,SHORT,397.99,395.65,36,0.587,0.447
2026-05-14 19:25:00+00:00,2026-05-15 14:00:00+00:00,SHORT,392.74,390.39,13,0.5979,0.4579
2026-05-15 14:20:00+00:00,2026-05-15 15:05:00+00:00,SHORT,390.14,389.68,9,0.1185,-0.0215
2026-05-15 16:45:00+00:00,2026-05-15 17:00:00+00:00,SHORT,389.47,390.86,3,-0.3564,-0.4964
2026-05-18 15:35:00+00:00,2026-05-18 15:40:00+00:00,SHORT,390.45,390.95,1,-0.1304,-0.2704
2026-05-19 14:25:00+00:00,2026-05-19 14:35:00+00:00,SHORT,387.32,388.36,2,-0.2665,-0.4065
2026-05-20 17:05:00+00:00,2026-05-20 17:10:00+00:00,SHORT,383.52,384.06,1,-0.1387,-0.2787
2026-05-21 13:45:00+00:00,2026-05-21 13:55:00+00:00,SHORT,377.98,379.04,2,-0.2818,-0.4218
2026-05-22 13:55:00+00:00,2026-05-22 14:35:00+00:00,SHORT,375.37,375.24,8,0.0338,-0.1062
2026-05-22 14:55:00+00:00,2026-05-22 15:05:00+00:00,SHORT,374.94,375.5,2,-0.1478,-0.2878
2026-05-22 16:55:00+00:00,2026-05-22 17:05:00+00:00,SHORT,374.93,375.49,2,-0.1481,-0.2881
2026-05-22 18:35:00+00:00,2026-05-22 19:55:00+00:00,SHORT,374.83,371.6,16,0.8609,0.7209
