entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-04-01 15:05:00+00:00,2026-04-01 15:20:00+00:00,SHORT,132.9,133.35,3,-0.3377,-0.4777
2026-04-01 17:15:00+00:00,2026-04-01 18:15:00+00:00,SHORT,132.98,133.14,12,-0.1207,-0.2607
2026-04-01 19:50:00+00:00,2026-04-02 13:35:00+00:00,SHORT,132.86,132.77,3,0.0727,-0.0673
2026-04-02 13:45:00+00:00,2026-04-02 14:05:00+00:00,SHORT,132.22,132.6,4,-0.293,-0.433
2026-04-02 16:25:00+00:00,2026-04-03 13:50:00+00:00,SHORT,133.28,131.13,47,1.6129,1.4729
2026-04-06 14:00:00+00:00,2026-04-06 14:45:00+00:00,LONG,133.78,133.05,9,-0.5397,-0.6797
2026-04-06 15:40:00+00:00,2026-04-06 15:50:00+00:00,LONG,133.99,132.74,2,-0.9354,-1.0754
2026-04-10 14:25:00+00:00,2026-04-10 14:40:00+00:00,LONG,138.39,137.42,3,-0.6959,-0.8359
2026-04-13 14:40:00+00:00,2026-04-13 15:05:00+00:00,LONG,138.15,136.25,5,-1.3746,-1.5146
2026-04-13 15:55:00+00:00,2026-04-13 16:10:00+00:00,LONG,136.99,136.22,3,-0.5676,-0.7076
2026-04-14 17:50:00+00:00,2026-04-14 18:05:00+00:00,LONG,138.13,136.4,3,-1.2501,-1.3901
2026-04-16 14:10:00+00:00,2026-04-16 14:15:00+00:00,LONG,141.94,141.47,1,-0.3327,-0.4727
2026-04-21 16:45:00+00:00,2026-04-21 17:40:00+00:00,LONG,144.34,143.43,11,-0.6304,-0.7704
2026-04-21 18:10:00+00:00,2026-04-22 13:40:00+00:00,LONG,144.09,147.29,24,2.2248,2.0848
2026-04-22 14:00:00+00:00,2026-04-22 14:05:00+00:00,LONG,147.41,147.04,1,-0.2569,-0.3969
2026-04-22 18:25:00+00:00,2026-04-22 18:30:00+00:00,LONG,145.7,144.98,1,-0.4948,-0.6348
2026-04-23 13:45:00+00:00,2026-04-23 13:55:00+00:00,LONG,148.83,148.67,2,-0.1109,-0.2509
2026-04-28 16:50:00+00:00,2026-04-28 17:30:00+00:00,SHORT,140.28,140.72,8,-0.312,-0.452
2026-04-29 14:00:00+00:00,2026-04-29 14:50:00+00:00,SHORT,140.32,139.37,10,0.6762,0.5362
2026-04-30 14:40:00+00:00,2026-04-30 15:00:00+00:00,SHORT,141.18,141.75,4,-0.4006,-0.5406
2026-04-30 15:10:00+00:00,2026-04-30 15:25:00+00:00,SHORT,141.35,141.37,3,-0.0153,-0.1553
2026-04-30 18:00:00+00:00,2026-04-30 18:25:00+00:00,SHORT,140.85,141.32,5,-0.3318,-0.4718
2026-05-01 15:50:00+00:00,2026-05-01 15:55:00+00:00,SHORT,140.25,141.17,1,-0.66,-0.8
2026-05-04 16:55:00+00:00,2026-05-04 17:05:00+00:00,LONG,141.75,140.88,2,-0.6177,-0.7577
2026-05-04 17:05:00+00:00,2026-05-04 17:50:00+00:00,SHORT,140.88,141.5,9,-0.4465,-0.5865
2026-05-04 17:55:00+00:00,2026-05-04 18:30:00+00:00,SHORT,141.21,141.41,7,-0.1422,-0.2822
2026-05-05 13:40:00+00:00,2026-05-05 13:50:00+00:00,SHORT,141.13,141.37,2,-0.1707,-0.3107
2026-05-07 15:40:00+00:00,2026-05-07 17:25:00+00:00,LONG,138.48,138.79,21,0.2263,0.0863
2026-05-08 14:20:00+00:00,2026-05-08 14:25:00+00:00,SHORT,134.45,135.12,1,-0.4941,-0.6341
2026-05-14 13:45:00+00:00,2026-05-14 13:50:00+00:00,SHORT,125.87,126.57,1,-0.5563,-0.6963
2026-05-15 15:40:00+00:00,2026-05-15 15:45:00+00:00,SHORT,123.65,124.15,1,-0.4031,-0.5431
2026-05-19 13:45:00+00:00,2026-05-19 18:20:00+00:00,SHORT,121.55,118.25,55,2.7205,2.5805
2026-05-20 13:30:00+00:00,2026-05-20 13:35:00+00:00,SHORT,117.76,118.32,1,-0.4761,-0.6161
