entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-04-01 14:50:00+00:00,2026-04-01 15:40:00+00:00,LONG,557.25,559.48,10,0.4007,0.2607
2026-04-02 13:35:00+00:00,2026-04-02 15:35:00+00:00,LONG,550.27,551.54,24,0.2317,0.0917
2026-04-09 13:55:00+00:00,2026-04-09 15:05:00+00:00,LONG,541.08,543.95,14,0.5297,0.3897
2026-04-10 13:35:00+00:00,2026-04-10 15:20:00+00:00,LONG,537.53,537.94,21,0.0763,-0.0637
2026-04-13 13:45:00+00:00,2026-04-13 15:00:00+00:00,LONG,533.16,533.8,15,0.1199,-0.0201
2026-04-17 14:45:00+00:00,2026-04-17 15:40:00+00:00,SHORT,530.8,529.77,11,0.1937,0.0537
2026-04-20 14:00:00+00:00,2026-04-20 17:00:00+00:00,LONG,521.37,520.45,36,-0.1768,-0.3168
2026-04-22 13:35:00+00:00,2026-04-22 15:50:00+00:00,LONG,509.02,511.29,27,0.4444,0.3044
2026-04-28 13:35:00+00:00,2026-04-28 16:35:00+00:00,LONG,514.78,512.67,36,-0.4091,-0.5491
2026-04-30 13:55:00+00:00,2026-04-30 14:30:00+00:00,SHORT,515.34,513.64,7,0.3314,0.1914
2026-05-05 13:35:00+00:00,2026-05-05 15:10:00+00:00,SHORT,510.9,509.79,19,0.2164,0.0764
2026-05-06 13:50:00+00:00,2026-05-06 14:40:00+00:00,SHORT,515.94,513.63,10,0.4479,0.3079
2026-05-07 13:50:00+00:00,2026-05-07 14:50:00+00:00,SHORT,515.65,514.55,12,0.2124,0.0724
2026-05-12 13:40:00+00:00,2026-05-12 17:25:00+00:00,SHORT,525.69,531.81,45,-1.1639,-1.3039
2026-05-14 14:30:00+00:00,2026-05-14 17:05:00+00:00,SHORT,527.38,529.88,31,-0.474,-0.614
2026-05-22 13:35:00+00:00,2026-05-22 15:25:00+00:00,LONG,528.78,529.16,22,0.0722,-0.0678
