entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-03-31 18:25:00+00:00,2026-03-31 19:10:00+00:00,SHORT,562.64,563.06,9,-0.0745,-0.2145
2026-04-06 13:35:00+00:00,2026-04-06 13:40:00+00:00,SHORT,548.44,549.46,1,-0.186,-0.326
2026-04-06 15:45:00+00:00,2026-04-06 16:00:00+00:00,SHORT,550.03,551.1,3,-0.1955,-0.3355
2026-04-06 17:00:00+00:00,2026-04-06 19:25:00+00:00,SHORT,550.08,550.42,29,-0.0612,-0.2012
2026-04-07 17:40:00+00:00,2026-04-08 13:35:00+00:00,SHORT,548.14,546.13,29,0.3658,0.2258
2026-04-09 13:35:00+00:00,2026-04-09 14:55:00+00:00,SHORT,542.51,542.44,16,0.0127,-0.1273
2026-04-09 17:20:00+00:00,2026-04-09 17:35:00+00:00,SHORT,542.16,542.84,3,-0.1254,-0.2654
2026-04-14 16:10:00+00:00,2026-04-14 19:00:00+00:00,SHORT,532.09,530.21,34,0.3536,0.2136
2026-04-15 13:35:00+00:00,2026-04-15 13:45:00+00:00,SHORT,529.32,530.28,2,-0.1819,-0.3219
2026-04-15 16:55:00+00:00,2026-04-15 17:25:00+00:00,SHORT,530.85,531.35,6,-0.094,-0.234
2026-04-15 17:35:00+00:00,2026-04-15 17:45:00+00:00,SHORT,530.85,531.48,2,-0.1186,-0.2586
2026-04-16 16:20:00+00:00,2026-04-16 16:25:00+00:00,SHORT,529.55,530.32,1,-0.1465,-0.2865
2026-04-17 16:50:00+00:00,2026-04-20 17:05:00+00:00,SHORT,530.14,521.5,81,1.6307,1.4907
2026-04-21 19:30:00+00:00,2026-04-21 19:40:00+00:00,SHORT,515.92,516.16,2,-0.0467,-0.1867
2026-04-22 16:45:00+00:00,2026-04-22 17:00:00+00:00,SHORT,510.34,511.51,3,-0.2291,-0.3691
2026-04-24 14:55:00+00:00,2026-04-24 15:05:00+00:00,SHORT,512.55,512.97,2,-0.0813,-0.2213
2026-04-27 16:10:00+00:00,2026-04-27 17:30:00+00:00,LONG,518.12,518.07,16,-0.0101,-0.1501
2026-04-28 19:15:00+00:00,2026-04-29 13:40:00+00:00,SHORT,510.63,509.29,11,0.2628,0.1228
2026-04-29 18:05:00+00:00,2026-04-29 18:10:00+00:00,SHORT,510.15,510.69,1,-0.1062,-0.2462
2026-05-04 18:05:00+00:00,2026-05-04 18:10:00+00:00,SHORT,506.11,506.43,1,-0.0635,-0.2035
2026-05-05 14:25:00+00:00,2026-05-05 15:05:00+00:00,LONG,510.69,510.64,8,-0.0101,-0.1501
2026-05-05 17:55:00+00:00,2026-05-06 13:35:00+00:00,LONG,509.06,514.59,26,1.0863,0.9463
2026-05-06 13:40:00+00:00,2026-05-06 14:20:00+00:00,LONG,514.8,516.03,8,0.239,0.099
2026-05-06 14:25:00+00:00,2026-05-06 14:30:00+00:00,LONG,516.32,516.11,1,-0.0422,-0.1822
2026-05-07 13:35:00+00:00,2026-05-07 14:50:00+00:00,LONG,514.8,514.55,15,-0.0476,-0.1876
2026-05-08 17:00:00+00:00,2026-05-08 17:15:00+00:00,LONG,518.11,516.32,3,-0.3452,-0.4852
2026-05-08 19:25:00+00:00,2026-05-11 13:35:00+00:00,LONG,517.28,517.52,8,0.0452,-0.0948
2026-05-11 14:05:00+00:00,2026-05-11 14:30:00+00:00,LONG,518.42,518.57,5,0.029,-0.111
2026-05-15 18:55:00+00:00,2026-05-18 13:40:00+00:00,SHORT,526.81,523.79,15,0.5734,0.4334
2026-05-18 13:45:00+00:00,2026-05-18 13:50:00+00:00,SHORT,523.36,523.94,1,-0.1106,-0.2506
2026-05-19 14:10:00+00:00,2026-05-19 14:15:00+00:00,LONG,535.66,535.11,1,-0.1028,-0.2428
2026-05-20 15:10:00+00:00,2026-05-20 15:20:00+00:00,LONG,530.99,530.15,2,-0.1573,-0.2973
2026-05-20 17:15:00+00:00,2026-05-20 17:45:00+00:00,SHORT,530.13,532.14,6,-0.3773,-0.5173
2026-05-20 18:25:00+00:00,2026-05-20 18:35:00+00:00,SHORT,530.53,532.18,2,-0.311,-0.451
2026-05-21 13:40:00+00:00,2026-05-21 13:55:00+00:00,LONG,534.51,534.53,3,0.0027,-0.1373
2026-05-21 17:10:00+00:00,2026-05-21 17:40:00+00:00,LONG,535.96,535.95,6,-0.0019,-0.1419
2026-05-22 14:35:00+00:00,2026-05-22 14:40:00+00:00,SHORT,527.56,527.93,1,-0.0704,-0.2104
2026-05-22 17:35:00+00:00,2026-05-22 19:45:00+00:00,SHORT,528.11,528.48,26,-0.0697,-0.2097
