entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-03-31 19:45:00+00:00,2026-04-01 15:30:00+00:00,SHORT,256.72,254.26,27,0.9583,0.8183
2026-04-01 17:00:00+00:00,2026-04-02 14:00:00+00:00,SHORT,249.5,246.26,42,1.3008,1.1608
2026-04-02 14:25:00+00:00,2026-04-02 15:05:00+00:00,SHORT,242.42,244.72,8,-0.9494,-1.0894
2026-04-02 16:00:00+00:00,2026-04-02 18:15:00+00:00,LONG,247.37,252.37,27,2.0219,1.8819
2026-04-03 15:05:00+00:00,2026-04-03 16:35:00+00:00,LONG,258.63,258.02,18,-0.2381,-0.3781
2026-04-03 17:05:00+00:00,2026-04-03 17:40:00+00:00,SHORT,251.85,255.18,7,-1.3211,-1.4611
2026-04-03 19:55:00+00:00,2026-04-06 13:35:00+00:00,SHORT,252.4,255.5,2,-1.2297,-1.3697
2026-04-06 14:30:00+00:00,2026-04-06 16:20:00+00:00,SHORT,250.69,247.67,22,1.2047,1.0647
2026-04-06 16:50:00+00:00,2026-04-06 19:55:00+00:00,SHORT,243.58,242.0,37,0.6463,0.5063
2026-04-07 14:20:00+00:00,2026-04-07 15:00:00+00:00,LONG,243.72,243.05,8,-0.2741,-0.4141
2026-04-07 17:05:00+00:00,2026-04-07 18:10:00+00:00,SHORT,238.18,239.83,13,-0.6929,-0.8329
2026-04-07 18:40:00+00:00,2026-04-07 19:00:00+00:00,LONG,241.3,239.74,4,-0.6478,-0.7878
2026-04-08 13:40:00+00:00,2026-04-08 16:40:00+00:00,LONG,244.08,252.02,36,3.2541,3.1141
2026-04-08 16:50:00+00:00,2026-04-08 17:05:00+00:00,SHORT,249.82,252.62,3,-1.1235,-1.2635
2026-04-08 18:15:00+00:00,2026-04-09 15:10:00+00:00,LONG,258.27,264.38,41,2.368,2.228
2026-04-09 15:50:00+00:00,2026-04-09 17:35:00+00:00,LONG,267.92,270.16,21,0.8389,0.6989
2026-04-09 18:50:00+00:00,2026-04-09 19:00:00+00:00,SHORT,267.0,270.43,2,-1.2845,-1.4245
2026-04-09 19:20:00+00:00,2026-04-10 13:40:00+00:00,LONG,272.57,269.76,10,-1.0292,-1.1692
2026-04-10 14:40:00+00:00,2026-04-10 15:35:00+00:00,LONG,273.29,271.84,11,-0.5289,-0.6689
2026-04-10 17:25:00+00:00,2026-04-10 17:55:00+00:00,LONG,277.18,274.4,6,-1.0014,-1.1414
2026-04-10 18:20:00+00:00,2026-04-10 18:30:00+00:00,LONG,278.4,275.55,2,-1.0239,-1.1639
2026-04-13 14:05:00+00:00,2026-04-13 15:30:00+00:00,SHORT,272.93,271.87,17,0.389,0.249
2026-04-13 17:00:00+00:00,2026-04-13 18:00:00+00:00,SHORT,267.59,267.85,12,-0.0972,-0.2372
2026-04-13 18:20:00+00:00,2026-04-13 19:35:00+00:00,LONG,270.67,271.79,15,0.416,0.276
2026-04-14 13:50:00+00:00,2026-04-14 14:20:00+00:00,SHORT,270.07,271.57,6,-0.5536,-0.6936
2026-04-14 16:35:00+00:00,2026-04-14 18:35:00+00:00,LONG,276.49,278.01,24,0.5523,0.4123
2026-04-15 14:05:00+00:00,2026-04-15 18:50:00+00:00,SHORT,272.35,259.96,57,4.549,4.409
2026-04-15 19:10:00+00:00,2026-04-15 19:15:00+00:00,LONG,261.31,259.59,1,-0.6556,-0.7956
2026-04-16 13:30:00+00:00,2026-04-16 14:05:00+00:00,LONG,262.18,261.0,7,-0.4489,-0.5889
2026-04-16 14:40:00+00:00,2026-04-16 15:00:00+00:00,SHORT,258.0,260.2,4,-0.8508,-0.9908
2026-04-16 16:25:00+00:00,2026-04-16 17:05:00+00:00,LONG,261.86,260.1,8,-0.6715,-0.8115
2026-04-16 17:45:00+00:00,2026-04-16 18:05:00+00:00,LONG,263.55,261.05,4,-0.9517,-1.0917
2026-04-16 19:30:00+00:00,2026-04-17 13:35:00+00:00,LONG,264.7,261.17,7,-1.3308,-1.4708
2026-04-17 14:40:00+00:00,2026-04-17 15:50:00+00:00,LONG,268.04,267.14,14,-0.3348,-0.4748
2026-04-17 18:40:00+00:00,2026-04-17 19:10:00+00:00,SHORT,262.23,265.92,6,-1.4083,-1.5483
2026-04-17 19:45:00+00:00,2026-04-20 13:50:00+00:00,LONG,271.74,268.02,7,-1.3678,-1.5078
2026-04-20 15:20:00+00:00,2026-04-20 15:40:00+00:00,SHORT,265.7,268.16,4,-0.9262,-1.0662
2026-04-20 16:25:00+00:00,2026-04-20 17:05:00+00:00,SHORT,264.53,267.28,8,-1.0384,-1.1784
2026-04-20 18:55:00+00:00,2026-04-20 19:55:00+00:00,SHORT,263.08,264.68,12,-0.6088,-0.7488
2026-04-21 13:45:00+00:00,2026-04-21 14:20:00+00:00,LONG,268.45,265.48,7,-1.1083,-1.2483
2026-04-21 14:45:00+00:00,2026-04-21 17:40:00+00:00,SHORT,260.66,254.7,35,2.2843,2.1443
2026-04-21 18:10:00+00:00,2026-04-21 19:40:00+00:00,LONG,258.45,259.4,18,0.3663,0.2263
2026-04-21 19:55:00+00:00,2026-04-22 13:55:00+00:00,SHORT,256.41,258.79,6,-0.9289,-1.0689
2026-04-22 18:05:00+00:00,2026-04-22 18:40:00+00:00,SHORT,254.94,259.73,7,-1.8825,-2.0225
2026-04-22 19:00:00+00:00,2026-04-23 17:50:00+00:00,SHORT,254.12,245.81,64,3.2705,3.1305
2026-04-23 18:15:00+00:00,2026-04-23 18:50:00+00:00,LONG,246.48,245.09,7,-0.5635,-0.7035
2026-04-23 19:25:00+00:00,2026-04-24 14:40:00+00:00,LONG,248.48,248.22,21,-0.1054,-0.2454
2026-04-24 14:55:00+00:00,2026-04-24 16:55:00+00:00,SHORT,246.1,240.91,24,2.1093,1.9693
2026-04-27 14:25:00+00:00,2026-04-27 14:40:00+00:00,SHORT,238.69,241.07,3,-0.997,-1.137
2026-04-27 15:20:00+00:00,2026-04-27 16:15:00+00:00,SHORT,237.6,237.03,11,0.2409,0.1009
2026-04-27 17:55:00+00:00,2026-04-27 18:20:00+00:00,SHORT,234.24,235.92,5,-0.7173,-0.8573
2026-04-27 19:00:00+00:00,2026-04-28 13:50:00+00:00,SHORT,231.86,233.03,16,-0.5022,-0.6422
2026-04-28 14:45:00+00:00,2026-04-28 15:35:00+00:00,LONG,235.02,234.53,10,-0.2045,-0.3445
2026-04-28 19:25:00+00:00,2026-04-28 19:40:00+00:00,LONG,239.67,237.29,3,-0.9926,-1.1326
2026-04-29 14:05:00+00:00,2026-04-29 14:55:00+00:00,LONG,241.72,239.84,10,-0.7787,-0.9187
2026-04-29 15:45:00+00:00,2026-04-29 16:35:00+00:00,SHORT,238.27,239.97,10,-0.7135,-0.8535
2026-04-29 17:30:00+00:00,2026-04-29 18:35:00+00:00,LONG,243.28,243.19,13,-0.0395,-0.1795
2026-04-30 13:55:00+00:00,2026-04-30 14:55:00+00:00,LONG,246.23,246.38,12,0.0627,-0.0773
2026-04-30 16:10:00+00:00,2026-04-30 17:15:00+00:00,SHORT,245.06,245.33,13,-0.108,-0.248
2026-04-30 17:35:00+00:00,2026-04-30 18:20:00+00:00,SHORT,241.5,243.31,9,-0.7507,-0.8907
2026-04-30 18:55:00+00:00,2026-05-01 14:45:00+00:00,LONG,246.95,251.65,28,1.9064,1.7664
2026-05-01 15:30:00+00:00,2026-05-01 15:45:00+00:00,SHORT,249.75,252.44,3,-1.0751,-1.2151
2026-05-01 17:00:00+00:00,2026-05-01 19:25:00+00:00,LONG,256.03,260.32,29,1.6742,1.5342
