entry_time,exit_time,side,entry_price,exit_price,bars_held,gross_pnl_pct,net_pnl_pct
2026-04-02 14:20:00+00:00,2026-04-02 15:05:00+00:00,SHORT,243.86,244.72,9,-0.3534,-0.4934
2026-04-03 14:40:00+00:00,2026-04-03 16:40:00+00:00,LONG,254.61,256.09,24,0.581,0.441
2026-04-06 13:35:00+00:00,2026-04-06 13:45:00+00:00,LONG,255.5,253.63,2,-0.7326,-0.8726
2026-04-06 14:05:00+00:00,2026-04-06 14:15:00+00:00,LONG,254.67,254.48,2,-0.0765,-0.2165
2026-04-07 16:15:00+00:00,2026-04-07 16:20:00+00:00,SHORT,241.94,242.64,1,-0.2911,-0.4311
2026-04-07 16:25:00+00:00,2026-04-07 18:40:00+00:00,SHORT,241.04,241.3,27,-0.108,-0.248
2026-04-09 18:55:00+00:00,2026-04-10 13:35:00+00:00,LONG,269.44,271.18,14,0.6452,0.5052
2026-04-10 14:10:00+00:00,2026-04-10 14:15:00+00:00,LONG,271.07,270.97,1,-0.0374,-0.1774
2026-04-10 15:55:00+00:00,2026-04-10 16:35:00+00:00,LONG,273.58,272.05,8,-0.5599,-0.6999
2026-04-10 17:00:00+00:00,2026-04-10 17:05:00+00:00,LONG,273.28,272.71,1,-0.2114,-0.3514
2026-04-10 17:10:00+00:00,2026-04-10 18:40:00+00:00,LONG,273.67,273.58,18,-0.0331,-0.1731
2026-04-13 15:30:00+00:00,2026-04-13 16:15:00+00:00,LONG,271.87,270.4,9,-0.5396,-0.6796
2026-04-14 15:05:00+00:00,2026-04-14 15:10:00+00:00,LONG,271.81,270.31,1,-0.555,-0.695
2026-04-14 15:40:00+00:00,2026-04-14 16:00:00+00:00,LONG,274.51,271.42,4,-1.1244,-1.2644
2026-04-16 17:20:00+00:00,2026-04-16 17:30:00+00:00,SHORT,259.68,261.01,2,-0.5151,-0.6551
2026-04-17 16:40:00+00:00,2026-04-17 18:10:00+00:00,LONG,268.35,267.26,18,-0.4056,-0.5456
2026-04-20 17:10:00+00:00,2026-04-20 17:15:00+00:00,LONG,267.88,266.88,1,-0.3716,-0.5116
